,goods,bprice,aprice,discount
0,공용) 오가닉 코튼 크루넥 반팔 티,9900,12900,23
1,공용) 오가닉 코튼 크루넥 반팔 티,9900,12900,23
2,쿨에어 크루넥 반팔 티,6900,12900,46
3,공용 오가닉 솔리드 반팔 티셔츠,4900,9900,50
4,여성) 오가닉 코튼 크루넥 반팔 티,9900,12900,23
5,아동) 오가닉코튼 레인보우 긴팔티,12900,0,0
6,쿨에어 브이넥 반팔 티,6900,12900,46
7,공용) 오가닉 코튼 크루넥 긴팔 티,9900,19900,50
8,쿨에어 크루넥 반팔 티,6900,12900,46
9,여성) 오가닉 코튼 크루넥 반팔 티,9900,12900,23
10,+5cm 반팔 레이어드티셔츠,12240,24900,50
11,남아) 코튼싱글 레터링 반팔티,6900,12900,46
12,공용) 오가닉 코튼 크루넥 긴팔 티,9900,19900,50
13,아동) 오가닉코튼 레인보우 반팔티,9900,0,0
14,공용) 슬럽 크루넥 반팔 티,7900,12900,38
15,아동) 오가닉코튼 레인보우 반팔티,9900,0,0
16,공용 오가닉 솔리드 반팔 티셔츠,4900,9900,50
17,아동) 오가닉코튼 레인보우 반팔티,9900,0,0
18,아동) 오가닉코튼 레인보우 긴팔티,12900,0,0
19,아동) 오가닉코튼 레인보우 반팔티,9900,0,0
20,아동) 오가닉코튼 레인보우 반팔티,9900,0,0
21,여성) 오가닉 코튼 크루넥 긴팔 티,9900,19900,50
22,여아) 7부 티셔츠,12900,15900,18
23,공용) 슬럽 크루넥 반팔 티,7900,12900,38
24,아동) 오가닉코튼 레인보우 반팔티,9900,0,0
25,아동) 오가닉코튼 레인보우 반팔티,9900,0,0
26,아동) 오가닉코튼 레인보우 긴팔티,12900,0,0
27,공용) 슬럽 그래픽 반팔 티,7900,19900,60
28,유니버스)초코어 콜라보 와펜 반팔티,19000,59000,67
29,남아) 코튼싱글 레터링 반팔티,6900,12900,46
30,공용) 오가닉 코튼 크루넥 반팔 티,9900,12900,23
31,공용) 오가닉 코튼 크루넥 반팔 티,9900,12900,23
32,쿨에어 크루넥 반팔 티,6900,12900,46
33,공용 오가닉 솔리드 반팔 티셔츠,4900,9900,50
