goods,aprice,bprice,discount,url,availsize
태슬체인 여자수영복 JC1WXS0414,22000,62000,65,https://www.sdmall.com/detail/01006B,"['80(S)', '85(M)', '90(L)', '95(XL)']"
인디언 여자수영복 JB6WBO0309,22000,62000,65,https://www.sdmall.com/detail/00FA87,['80(S)']
팜2 여자수영복 JC1WXH0417,26000,72000,64,https://www.sdmall.com/detail/01006E,['80(S)']
래빗 여자수영복 JC1WBH0419,26000,72000,64,https://www.sdmall.com/detail/010070,['80(S)']
페스티벌 여자수영복 JB6WBO0306,22000,62000,65,https://www.sdmall.com/detail/00FA84,"['80(S)', '85(M)']"
심플타이포 수영복 JC2WGO0434,19000,50000,62,https://www.sdmall.com/detail/010413,"['80(S)', '85(M)', '90(L)']"
래빗,17800,46000,62,https://www.sdmall.com/detail/010074,['100']
미로 여자수영복 JC1WAO0410,22000,62000,65,https://www.sdmall.com/detail/010067,['80(S)']
삼각파티 여자수영복 JB9WXH0382,26000,72000,64,https://www.sdmall.com/detail/010095,['80(S)']
웨이브,22000,57000,62,https://www.sdmall.com/detail/010072,"['85(S)', '90(M)', '95(L)', '100(XL)']"
워터체크 여자수영복 JC1WAO0409,22000,62000,65,https://www.sdmall.com/detail/010066,['80(S)']
심플타이포 여자수영복 JB9WGO0369,22000,57000,62,https://www.sdmall.com/detail/010088,['80(S)']
심플타이포 여자수영복 JB9WAO0374,22000,52000,58,https://www.sdmall.com/detail/01008D,"['80(S)', '85(M)', '90(L)', '95(XL)']"
웨이브 여자수영복 JC1WXH0416,26000,72000,64,https://www.sdmall.com/detail/01006D,['80(S)']
다이스 여자수영복 JB8WAO0339,22000,57000,62,https://www.sdmall.com/detail/00FC65,"['80(S)', '85(M)']"
빈티지스퀘어 여자수영복 JB9WXH0383,26000,72000,64,https://www.sdmall.com/detail/010096,['80(S)']
파이톤 여자수영복 JC1WXH0399,26000,72000,64,https://www.sdmall.com/detail/01005C,['80(S)']
톡톡 여자수영복 JB9WXS0381,22000,57000,62,https://www.sdmall.com/detail/010094,['80(S)']
트라이앵글,17800,46000,62,https://www.sdmall.com/detail/00FA96,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
롤리엔젤 여자수영복 JC3WXS0470,22000,52000,58,https://www.sdmall.com/detail/0103BF,"['80(S)', '85(M)', '95(XL)']"
롤리엔젤 여자수영복 JC3WXS0469,22000,52000,58,https://www.sdmall.com/detail/0103BE,"['80(S)', '85(M)', '90(L)', '95(XL)']"
태슬체인 여자수영복 JC1WXS0413,22000,62000,65,https://www.sdmall.com/detail/01006A,"['80(S)', '85(M)']"
웨이브 여자수영복 JC1WGO0407,22000,57000,62,https://www.sdmall.com/detail/010064,['80(S)']
샤이닝 여자수영복 JC2WBH0453,26000,72000,64,https://www.sdmall.com/detail/010426,"['80(S)', '85(M)']"
파이톤,17800,46000,62,https://www.sdmall.com/detail/010061,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC8A,"['90(M)', '100(XL)']"
페스티벌,17800,46000,62,https://www.sdmall.com/detail/00FA94,['80(2S)']
파이톤 여자수영복 JC1WXH0400,26000,72000,64,https://www.sdmall.com/detail/01005D,['80(S)']
톡톡 여자수영복 JB9WGO0368,22000,57000,62,https://www.sdmall.com/detail/010087,['80(S)']
워터컬러,17800,46000,62,https://www.sdmall.com/detail/00FC81,"['90(M)', '95(L)', '100(XL)']"
머메이드 여자수영복 JC1WGH0418,26000,72000,64,https://www.sdmall.com/detail/01006F,"['80(S)', '85(M)']"
웨이브,17800,46000,62,https://www.sdmall.com/detail/010076,"['95(L)', '100(XL)', '105(2XL)']"
미로 여자수영복 JC1WBH0420,26000,72000,64,https://www.sdmall.com/detail/010071,['80(S)']
깃털,17800,46000,62,https://www.sdmall.com/detail/010079,"['90(M)', '95(L)', '100(XL)', '105(2XL)']"
지브라,22000,57000,62,https://www.sdmall.com/detail/010099,"['85(S)', '90(M)', '95(L)']"
트라이앵글 여자수영복 JB6WXH0315,26000,80000,68,https://www.sdmall.com/detail/00FA8D,"['80(S)', '85(M)']"
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC8B,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
제이커스닥 여자수영복 JB8WAO0341,22000,57000,62,https://www.sdmall.com/detail/00FC69,['80(S)']
리저드 여자수영복 JB6WBH0316,26000,72000,64,https://www.sdmall.com/detail/00FA8E,"['80(S)', '85(M)']"
롤리엔젤 수영복 JC3WXS0471,22000,52000,58,https://www.sdmall.com/detail/0103C0,"['80(S)', '85(M)', '90(L)', '95(XL)']"
팜,17800,46000,62,https://www.sdmall.com/detail/00FA9B,"['80(2S)', '95(L)', '100(XL)']"
심플타이포 여자수영복 JB9WGO0370,22000,52000,58,https://www.sdmall.com/detail/010089,"['80(S)', '85(M)', '95(XL)']"
램스,17800,46000,62,https://www.sdmall.com/detail/0100A3,"['90(M)', '95(L)', '100(XL)', '105(2XL)']"
플로럴2 여자수영복 JB6WBO0307,22000,57000,62,https://www.sdmall.com/detail/00FA85,['80(S)']
제이커스닥,22000,62000,65,https://www.sdmall.com/detail/00FC85,"['90(M)', '95(L)', '100(XL)']"
다이스 여자수영복 JB8WGO0336,22000,57000,62,https://www.sdmall.com/detail/00FC62,"['80(S)', '85(M)']"
팜 여자수영복 JB6WXO0312,22000,57000,62,https://www.sdmall.com/detail/00FA8A,"['80(S)', '85(M)']"
깃털 여자수영복 JC1WXH0415,26000,72000,64,https://www.sdmall.com/detail/01006C,['80(S)']
포스트잇,17800,46000,62,https://www.sdmall.com/detail/00FC7A,['100(XL)']
플로럴2 여자수영복 JB6WGO0300,17000,57000,71,https://www.sdmall.com/detail/00FA7E,['80(S)']
팜 세트상품,27800,85000,68,https://www.sdmall.com/detail/0118D5,"['80(2S)', '85(S)', '90(M)', '95(L)', '100(XL)']"
심플타이포 여자수영복 JB9WAO0375,22000,57000,62,https://www.sdmall.com/detail/01008E,"['80(S)', '85(M)']"
판타지아하이엔드믹스,17800,46000,62,https://www.sdmall.com/detail/00FC7D,"['90(M)', '95(L)', '100(XL)']"
다이스,17800,46000,62,https://www.sdmall.com/detail/00FC79,"['80(2S)', '90(M)', '95(L)', '100(XL)']"
JKUSS LINE 여자수영복 JC2WBO0441,22000,62000,65,https://www.sdmall.com/detail/01041A,['80(S)']
페스티벌 여자수영복 JB6WAO0301,22000,57000,62,https://www.sdmall.com/detail/00FA7F,"['80(S)', '85(M)']"
파이톤,22000,57000,62,https://www.sdmall.com/detail/01005F,"['85(S)', '90(M)', '95(L)', '100(XL)', '105(2XL)']"
티제이,22000,52000,58,https://www.sdmall.com/detail/00FC89,"['85(S)', '90(M)', '95(L)', '100(XL)']"
DreamLike 여자수영복 JC2WBH0455,26000,72000,64,https://www.sdmall.com/detail/010428,['80(S)']
빈티지스퀘어,22000,62000,65,https://www.sdmall.com/detail/01009A,"['85(S)', '90(M)', '95(L)']"
다이스 여자수영복 JB8WXH0346,26000,72000,64,https://www.sdmall.com/detail/00FC70,"['80(S)', '85(M)']"
